# TM102 capture — label=general-timed port=/dev/cu.usbserial-0001 started=20260826-132002
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: F2 76 EC EA 67 73 FE BE 03 6E BD F7 | T:12774 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E9 64 73 FE FF 76 60 BE FF | T:12804 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E8 65 73 FD 7F AA 85 AF DF | T:12834 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E FC E7 6A 73 FD 5F 9B 92 AB DB | T:12864 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E6 6B 73 FD 5F C7 77 BF FE | T:12894 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E5 68 73 FD FD B2 71 BD FF | T:12924 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 73 D6 BF 6E 9C BF 6C | T:12954 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E3 6E 73 DF FA 58 65 BF FE | T:12984 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E2 6F 73 AE AF 84 80 BF EF | T:13014 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E1 6C 73 F5 FD E1 8E B7 FF | T:13044 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E0 6D 73 DE BF 2D 6B F5 F5 | T:13074 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 EE DF 52 73 FF 5F 3C 7B BF FF | T:13104 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 73 73 FD 7D 5E 64 B7 DF | T:13134 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 70 73 FF FD AA 6A BA F7 | T:13137 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 73 DE BF F6 8F AF FE | T:13141 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FB 76 73 FE FF C0 76 AF FF | T:13172 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F2 77 73 FD 7E 1C 93 B7 FF | T:13202 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 ED E9 74 73 FD 7F 69 9D BD ED | T:13232 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 73 DF 5F B5 78 BF FF | T:13262 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 73 FD 7F 04 6F 36 FF | T:13292 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 7B 73 FD 7F D8 8A AF BF | T:13322 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 70 73 75 7A AD 04 BF ED | T:13352 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 73 EE 5F 71 61 AF FD | T:13382 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E3 7A 73 BA FF 47 18 BF FF | T:13412 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 F2 7A 73 F7 AF 9B 7D AB FB | T:13442 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 7C 73 FE BE EE 73 AF DF | T:13472 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F0 7D 73 FE AF 32 96 AE FF | T:13501 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EF 62 73 FD 7D 9E 74 BF FF | T:13531 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD EE 63 73 EE BF 40 99 AF BD | T:13561 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 73 FE BF 35 97 BF AF | T:13591 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EC 61 73 FE FF E9 72 BF FF | T:13621 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EB 66 73 BE BF DF 0B FE DF | T:13651 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 73 FF 56 83 6E AB F5 | T:13681 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E9 64 73 FD 7F 76 60 A7 FF | T:13711 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E8 65 73 FE BF AA 85 BE A8 | T:13741 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E7 6A 73 BF FA 1B 92 BD F7 | T:13771 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B 73 FA FE C7 77 BF F5 | T:13801 RPD:1
[CH: 50] LEN: 12 | HEX: EA 7E F6 E5 68 73 FD 7F B2 71 BF DF | T:13831 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E4 69 73 FD FB 6E 9C AB FF | T:13861 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E3 6E 73 FD 7D 58 65 BF EB | T:13891 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6F 73 FF AB 04 80 AD DF | T:13921 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 73 FF 7F F1 8E AF FE | T:13951 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 73 FF D7 2D 6B BF FF | T:13981 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE DF 52 73 EE AF BC 7B BE BD | T:14011 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EA F6 73 73 FE AF 5F 64 BF EE | T:14041 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 70 73 FF AF 2A 6A AA FF | T:14045 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 F4 71 73 FF AB 5E 8F 3B F7 | T:14049 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FB 76 73 FF EF 60 76 AB EB | T:14079 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 77 73 FF 55 1C 93 B7 F7 | T:14109 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 73 FF 4A 69 9D BD BF | T:14139 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 73 FF AF B5 74 BD FF | T:14169 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 73 FD 5F 04 6F AF BB | T:14199 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F6 7B 73 FE BF D8 8A AF BA | T:14229 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F5 78 73 FD 7F AD 84 AF FB | T:14259 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FD F4 79 73 BA FD 71 61 AF DF | T:14289 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7E 73 DB FD 47 98 AE FF | T:14319 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F2 7F 73 DD 5F 1B 79 AF FB | T:14349 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 74 73 FD 7F EE 73 FF FF | T:14379 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 79 73 DF FA B2 96 BB BB | T:14409 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC EE E2 73 DA FA 9C 7C BE FF | T:14439 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 73 FF AF 40 99 BF AD | T:14469 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 73 FF 5F 35 97 BF BE | T:14499 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 73 FF D6 A9 72 AD 7D | T:14529 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 73 FF AF DF 8B AF 7F | T:14559 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 73 FD 7E 03 6E BF EF | T:14589 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E9 64 73 FE AA 76 60 BF 7E | T:14618 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 73 FF D5 6A 85 AF FB | T:14648 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 E7 6A 73 FA FF 1B 92 BF 7E | T:14678 RPD:1
