# TM102 capture — label=buzz-1 port=/dev/cu.usbserial-0001 started=20260826-132616
[CH: 50] LEN: 12 | HEX: F2 76 FE E4 69 73 FE AF 6E 9C AF BD | T:376411 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E3 6E 73 FD 7F 58 65 BF FD | T:376441 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6F 73 FF AF 04 80 BE DF | T:376471 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C 73 FF 3F F1 8E AF DB | T:376501 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E0 6D 73 FF 5A 2D 6B AF EF | T:376531 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DE 52 73 FD 5F BC 7B BF EE | T:376561 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC F6 73 73 AD 5F 5F 64 BF 7F | T:376591 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FD 74 73 FE AF 2A 6A BF EF | T:376595 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 71 73 FD 7F B6 8F 3F EF | T:376598 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA F3 76 73 FE BF C0 76 AF BF | T:376628 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FA 77 73 DF FA 1C 93 BF 6D | T:376658 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 73 FE BE 69 9D BD DF | T:376688 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 73 DD 5F B5 74 AF FD | T:376718 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 73 FE BF 04 6F AF FB | T:376748 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 7B 73 FD 5F D8 8A BA FF | T:376778 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 78 73 D5 7D 2D 84 BF 7D | T:376808 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 79 73 FD 7F 71 61 BF F7 | T:376838 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E3 7E 77 BA FF 47 98 BB FE | T:376868 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 7D 73 DD 7F 9B 79 AE FD | T:376898 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 7C 73 EE AF DE 73 AF FF | T:376928 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 7D 73 FF FF 32 96 BB 7F | T:376958 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 EF 62 73 FF 5F 9C 7A BF FB | T:376988 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 EE 63 73 FE FE C0 99 AE BB | T:377018 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 73 FA FF 35 97 3E FB | T:377048 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 73 FF 7F DE 8B AE B5 | T:377108 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA EA 67 73 FE BF 03 6E AF 7F | T:377138 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 E9 64 73 FA BF 76 60 BE FF | T:377168 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC E8 65 73 D5 7F 2A 85 BF FF | T:377198 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A 73 FE BF 1B 92 BB DE | T:377228 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E6 6B 73 FE BF C7 77 AF B7 | T:377258 RPD:1
[CH: 50] LEN: 12 | HEX: D2 76 FE E5 68 73 DE BE B2 79 BB FF | T:377288 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 73 FD 7E 6E 9C AE FF | T:377318 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E 73 FF AF 58 65 B7 BF | T:377348 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E2 6F 73 FF 5F 84 80 B7 FF | T:377378 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C 73 FD FA F1 8E B7 7F | T:377408 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 73 D7 FD 2D 6B AF FB | T:377438 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DE 52 7B DE BF 3C 7B BE FF | T:377468 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 73 73 FE BF 5E 64 BD B7 | T:377498 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 FD 70 73 FE BF 2A 6A BE 7F | T:377501 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 73 FD 7F E6 8F BF FF | T:377505 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FB 76 73 F5 FF E0 76 BF DF | T:377535 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 77 73 BA FD 1C 93 FD FF | T:377565 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F9 74 73 D6 BF 69 9D BF 7F | T:377595 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 73 FF FD B5 70 AA FD | T:377625 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F7 7A 73 EE BE 04 6F AF DF | T:377655 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 E6 7B 73 FF 7F 98 8A AF D7 | T:377685 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE ED 78 73 FF FF 2D 84 BB FF | T:377715 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 79 73 FF AF 71 61 BE FF | T:377745 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F3 7E 73 EA BF 47 98 BD F5 | T:377775 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 7F 73 FD 7F 9B 7D BF FF | T:377805 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 7C 73 D7 FF 6E 73 FD ED | T:377835 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F0 7D 73 DA FB 32 96 BF FF | T:377865 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 73 FE BF 9C 7C AF FF | T:377895 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 73 FA FD 40 99 AA AF | T:377925 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F5 ED 60 73 FD 7D 35 97 37 FF | T:377955 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EC 61 73 FF EF 69 72 AF BD | T:377985 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EB 66 73 DF 7F 9F 8B BE FE | T:378015 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 EA 67 73 F7 5F 03 6E AF FF | T:378045 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E9 64 73 FE BF 76 60 BE F5 | T:378075 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E8 65 73 FD 7D 2A 85 A7 5F | T:378105 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A 73 D6 BF 1B 92 AF FF | T:378135 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B 73 FE FD C7 77 BF FF | T:378165 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E5 68 73 BA FF B2 71 BB B7 | T:378195 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E4 69 73 FA FE 6E 9C AE FF | T:378225 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EA E3 6E 73 AD FF 58 65 BD FE | T:378255 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E2 6F 73 FD 7D 84 80 BF FF | T:378285 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 73 FD 57 F1 8E BF FF | T:378315 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E0 6D 73 B7 FD 2D 6B BF FF | T:378345 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE DE 52 73 FA FF B8 73 FE 97 | T:378375 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FE 7B 73 FD 7D 5D 64 AF 7D | T:378405 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FD 70 73 FD FB 2A 6A AE FB | T:378409 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 73 F7 5F F6 8F AF DB | T:378413 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 76 73 FE BF C0 76 BF FF | T:378443 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F2 77 73 DD 7F 1C 93 AF FB | T:378473 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE F9 74 73 DF FA 69 9D AF FB | T:378503 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 F8 75 73 FF 7F 75 74 AF F6 | T:378533 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F7 72 73 BD 7D 04 6F AA BF | T:378563 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F6 7B 73 DE AF D8 8A AE FF | T:378593 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE F5 70 73 FD 7F AD 84 BE F7 | T:378623 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F4 79 73 FF 5F 71 61 BD EB | T:378653 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F3 7A 73 FA FC C7 98 BF FF | T:378683 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E2 7F 73 DE FE DB 7D BB FF | T:378713 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC F1 7C 73 EE AF EE 73 AF 7B | T:378743 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E0 7D 73 FF FC B2 96 BD FB | T:378773 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 73 ED 5F 9C 7C B5 B7 | T:378803 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE EE 63 73 BA FE 40 99 BB F7 | T:378832 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA ED 60 73 FA FA 35 97 AF E7 | T:378863 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA EC 61 73 FF 7F 49 72 AF FF | T:378893 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 73 FF AF DF 8B AA EF | T:378923 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EC EA 67 73 FA FB 03 6E AF FF | T:378953 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 73 D7 FB 76 60 BF DF | T:378982 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E8 65 73 FF 5F AA 85 BF FE | T:379012 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E7 6A 73 FD 7F 1B 92 AF 77 | T:379042 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B 73 FB FA C7 77 BF FF | T:379072 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 73 FD 7F 6E 9C BF FE | T:379132 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E3 6E 73 FA FF 58 65 BD FF | T:379162 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6F 73 EF 5B 84 80 BF FD | T:379192 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 73 FD 7F E1 8E AE FB | T:379222 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E0 6D 73 FE BF 2D 6B BF 77 | T:379252 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE DE 52 73 AF 5F BC 7B BF F7 | T:379282 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FE 73 73 DF F5 5D 64 BD EF | T:379312 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FD 70 73 FE BD 2A 6A AB BF | T:379316 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 FA 71 73 FD 7D 5E 8E AF FE | T:379320 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 EB 76 73 B5 FB C0 76 A7 F7 | T:379350 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FA 77 73 FB FF 1C 93 AF FF | T:379380 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 73 EE FD 69 9D AF EF | T:379410 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F8 75 73 FD 7D B5 70 AF 76 | T:379440 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F7 7A 73 DD 7E 84 6F BF FB | T:379470 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 7B 73 FA FB D8 8A BE 7F | T:379500 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 78 73 FA FD 2D 84 BF 7E | T:379530 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FD F4 79 73 FA FA 71 61 AB DF | T:379560 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7C 73 FE FF 47 18 BF 7F | T:379590 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE F2 7F 73 FD 7F 1B 75 BB BA | T:379620 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 7C 73 FD 7F EE 73 EF BF | T:379650 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 79 73 D6 BF 32 96 BF FD | T:379680 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 73 FD 7F 1C 78 AE B6 | T:379710 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE EE 63 73 FE BF 40 99 AF 7A | T:379740 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA ED 60 73 FD 7F 35 97 BF F7 | T:379770 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE AC 61 73 FD 7D D9 72 AF DF | T:379800 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 73 D6 BE 9D 0B AD F7 | T:379830 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EC EA 67 73 DA FA 03 6E AB B7 | T:379860 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E9 64 73 AE BD 76 60 BF BF | T:379890 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 72 A9 74 AA 85 BF F5 | T:379920 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EC E7 6A 63 B5 F7 1B 92 BD FF | T:379950 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E6 6B 73 F5 F7 87 77 3F FF | T:379980 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 73 DA BE B2 79 BA DE | T:380010 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 73 BD 7F 6E 9C AF DF | T:380040 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E3 6E 73 FD 7F 58 65 BF FF | T:380070 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 E2 6F 73 D7 5F 04 80 B7 5E | T:380100 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F1 6C 73 AD 5F F1 8E B7 FF | T:380130 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F4 E0 6D 73 DF FD 2D 6B BB BF | T:380160 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE DE 52 73 EF FD 3A 73 EF D7 | T:380190 RPD:1
[CH: 50] LEN: 12 | HEX: FE 76 FE FE 73 73 DE FD 5F 64 AF DF | T:380220 RPD:1
[CH: 50] LEN: 12 | HEX: FE 76 F6 FD 70 73 EE BE AA 6A BB 7E | T:380223 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE FC 71 73 FD FF 56 8F BF BD | T:380227 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 FB 76 73 FB F6 80 76 BE BA | T:380257 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 FA 77 73 FD 7F 1C 93 BE FF | T:380287 RPD:1
