# TM102 capture — label=buzz-2 port=/dev/cu.usbserial-0001 started=20260826-133344
[CH: 50] LEN: 12 | HEX: FA 76 F6 E2 6E BA 95 FD 19 6A AF FF | T:824533 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 EE E1 6C FA 95 EF 6C 64 BF FE | T:824563 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 E0 6D FC 95 D6 B0 81 BF BF | T:824593 RPD:1
[CH: 50] LEN: 12 | HEX: F6 66 DE DE 52 EC 95 DE A1 91 BD EF | T:824623 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F4 FE 73 DD 95 EA 82 8E BF 7B | T:824653 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA ED 70 FE 95 F7 77 80 BF FF | T:824657 RPD:1
[CH: 50] LEN: 12 | HEX: EA 7E FE FB 76 FE 95 FA 5D 9C BF FF | T:824691 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FF F2 77 FD 95 EF 41 79 BE BF | T:824721 RPD:0
[CH: 50] LEN: 12 | HEX: EE 76 FA F1 74 F5 95 EB F4 77 EF FE | T:824751 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FA F0 75 EA 95 DF 28 92 AD F7 | T:824781 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F7 7A FA 95 FF 99 85 BB DB | T:824811 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F6 7B FE 95 FF C5 60 BD F7 | T:824841 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 70 F4 95 F6 30 6E BF FF | T:824871 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 FE 95 F6 AC 8B BA DF | T:824901 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7C FE 95 F5 DA 72 B7 FF | T:824931 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 7E DE 95 EA 86 97 BD EF | T:824961 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F1 7C FE 95 EE F3 99 BF 7F | T:824991 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 7D FC 95 EA EE F4 BF FF | T:825021 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE EF 62 EA 95 F5 01 96 BB AF | T:825051 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EE 63 FF 95 EE 9D 73 B7 FF | T:825081 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 ED 60 F6 95 EF 68 7B BF FF | T:825111 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 F6 EC 61 FE 95 D9 74 98 BD FF | T:825141 RPD:0
[CH: 50] LEN: 12 | HEX: F6 76 FE EA 67 FA 95 FD 9D 84 AF AF | T:825200 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 EE 95 FD 6B 8A BF FF | T:825230 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 D4 95 FD 37 6F 7F FA | T:825260 RPD:0
[CH: 50] LEN: 12 | HEX: F2 77 FA E7 6A F4 95 FF 46 78 BD FF | T:825290 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE E6 6B 76 95 FE 5A 9D BF BB | T:825320 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FF E4 69 F6 95 FB 53 76 BF FF | T:825380 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE E3 6E EC 95 FD 05 8F AF FF | T:825410 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FA E2 6E AA 95 FE 99 6A BD DF | T:825440 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 EE E1 6C EC 95 D7 6C 64 BF DD | T:825470 RPD:0
[CH: 50] LEN: 12 | HEX: FA 7E FA E0 6D FE 95 EF 70 81 BF DF | T:825500 RPD:0
[CH: 50] LEN: 12 | HEX: FE 76 FE DF 52 FE 95 FF A1 91 BD BF | T:825530 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FA F6 73 D6 95 FF C2 8E BF 7F | T:825560 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FD 70 FE 95 FF B7 80 AF FB | T:825564 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA FC 71 FE 95 FE EB 65 BA FF | T:825567 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 FB 76 FE 95 ED 5D 9C BF EF | T:825597 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 F6 F6 77 FD 95 FE 81 79 BF FF | T:825627 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 F6 F9 74 F4 95 DE B4 77 7D FF | T:825657 RPD:0
[CH: 50] LEN: 12 | HEX: FE 76 F5 E7 7A FE 95 FF 19 85 BF BD | T:825717 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 FB F6 7F DB 95 ED 45 60 B6 FF | T:825747 RPD:0
[CH: 50] LEN: 12 | HEX: F2 77 F5 E5 74 F5 95 D7 30 6E BF FF | T:825777 RPD:0
[CH: 50] LEN: 12 | HEX: DA 76 EA E2 79 7D 95 DD 06 97 3A BB | T:825867 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE F1 78 FE 95 FF 73 99 BF D6 | T:825897 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FC EF 62 F5 95 EF 01 96 BE DF | T:825957 RPD:0
[CH: 50] LEN: 12 | HEX: FE 76 FD EE 63 EF 95 FF DD 73 AF BF | T:825987 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 D4 ED 60 F4 95 EF 68 75 BF FF | T:826017 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 EE EC 61 FD 95 DE F4 98 BF FF | T:826047 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 EE EB 66 EE 95 FF 42 61 B5 7F | T:826077 RPD:0
