# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-140054
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: EE 76 ED 00 8C EF 7D FF AF 62 AF DF | T:2467091 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF 00 8C FF 7D FF 6F A2 AA AF | T:2467091 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 EC EE 63 BD FF 7E 11 5D BF FF | T:2467390 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 78 FF 5F F7 64 51 AD DB | T:2467420 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 71 FD 7F D7 B8 B4 BF AE | T:2467450 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 F6 D7 76 FD 7A 7F 8E 4D BF 7F | T:2467480 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FA 77 FD F7 FD 52 A8 BB FF | T:2467510 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE F1 74 FE FE FF 27 A6 BE EF | T:2467540 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 F7 FD FF 5B 43 BD FF | T:2467570 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A FB DF D6 4A 54 BF FA | T:2467600 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FE F6 7B FB F7 FE 96 B1 BF FE | T:2467630 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 EF FE BF 3D 5A BD FD | T:2467690 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 F3 76 EF 7E B7 09 A3 AE BB | T:2467720 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F2 7B BF 5F EB D5 46 AF FF | T:2467750 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F9 74 EF 7D 7F A0 48 AF FF | T:2467780 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE F0 79 FF 5F F9 7C AD AE BE | T:2467810 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 FF D7 FE 92 47 AF E9 | T:2467840 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE EE 63 AD 7D 7F 0E A2 BF FE | T:2467870 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 ED 60 FA AF D6 7B AC BD D1 | T:2467900 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 FF 5F FF 67 49 BF DF | T:2467930 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 FF F5 7F 91 B0 BE FB | T:2467960 RPD:1
