# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-145842
0] LEN: 12 | HEX: FA 76 FE E0 6D F1 92 FA AC 86 AF FF | T:5922522 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 F9 92 F7 3D 96 B5 EF | T:5922552 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 73 F9 92 FF 5E 89 BE FB | T:5922582 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F4 FD 70 F9 92 FF AB 87 BF FD | T:5922586 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F4 71 F9 B2 FE 77 62 BF FF | T:5922589 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F5 F3 76 F1 92 FF 41 9B B7 5E | T:5922600 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FA 77 F9 92 FF 9D 74 BD FE | T:5922600 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F5 F9 74 F9 92 FF E8 70 BF 7D | T:5922612 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F8 75 ED 92 F7 34 95 BE D7 | T:5922612 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A F1 92 FB 05 82 BD EF | T:5922623 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE F5 70 D1 92 D5 2C 69 BE FF | T:5922642 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E4 79 F9 92 ED 70 8C BF F7 | T:5922672 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F3 7E F9 92 FA C6 75 BF FE | T:5922702 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 7F A9 92 FA 9A 90 BF FB | T:5922732 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 7C F9 92 FA 6F 9E BF FD | T:5922762 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA F0 79 F9 92 FE B3 7B BF D7 | T:5922792 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 F5 92 ED 1D 91 BF EF | T:5922822 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD EE 63 E9 92 FD 81 74 BF FF | T:5922852 RPD:1
[CH: 50] LEN: 12 | HEX: F2 77 F6 EC 61 F9 92 F6 68 9F BF FB | T:5922912 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EB 66 F9 92 FF 5E 66 BF FF | T:5922942 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 F5 92 FF 42 83 BF FF | T:5922972 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E9 64 F9 92 FF FF 8D BE FF | T:5923002 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E8 65 F1 B2 FF 2B 68 BF FF | T:5923032 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E7 6A F1 92 FF 9A 7D BF FF | T:5923062 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E6 6B F9 92 FD C6 9A AF FA | T:5923092 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E5 68 F9 92 EB 33 94 BF FB | T:5923122 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FB E4 69 F9 92 FD CF 71 BF EF | T:5923152 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E3 6E F9 92 F5 99 88 BF EF | T:5923182 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6F F5 92 F7 05 6D B9 BE | T:5923212 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 E1 6C F9 D2 FF 70 63 BF FF | T:5923242 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F5 E0 6D F9 92 FF EC 86 BF FE | T:5923272 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DF 52 F5 92 FF 3D 96 BF FF | T:5923302 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F4 73 F9 92 FF 7E 89 BD DF | T:5923332 RPD:1
[CH: 50] LEN: 12 | HEX: FA 66 F5 FD 70 F9 92 FF 6B 87 BF FF | T:5923335 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 E9 92 F7 77 62 B7 FF | T:5923339 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA FB 76 F1 92 FE C1 9A BF F7 | T:5923351 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD FA 77 E9 92 FF 9D 7E BD BF | T:5923351 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 74 F9 92 FF B8 70 BF FF | T:5923362 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F8 75 ED 92 FF 34 95 BF 7F | T:5923362 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 F6 E7 7A F1 92 F5 85 82 BB BF | T:5923374 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FA F5 70 F9 92 EB 2C 69 BF 7F | T:5923392 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F4 79 E9 92 F5 A8 8C BF FF | T:5923423 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7E F9 92 FF 66 75 B7 FF | T:5923452 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 7F E1 92 EB 1A 90 BF BC | T:5923482 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 F1 78 F1 92 EB 6F 9E BF 7F | T:5923512 RPD:1
