# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-153939
0] LEN: 12 | HEX: EA 76 F6 E0 6D E8 93 FD 28 87 BF BD | T:8379832 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE DE D2 F0 93 BD 39 97 BF DF | T:8379862 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 73 F8 93 FA DA 88 BF FF | T:8379892 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 FD 70 F8 93 EE AF 06 BF FD | T:8379896 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F4 E8 71 F8 93 FA 73 63 B5 FF | T:8379900 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 F3 76 F0 93 EF 45 9A BB 7D | T:8379911 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 77 F4 93 FA 99 7B BD FF | T:8379911 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 F9 74 F8 93 ED EC 71 BD FB | T:8379922 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 F4 93 DA 30 94 BF D7 | T:8379923 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FB F7 7A F4 93 FE 81 83 AE BA | T:8379934 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F6 7B F8 93 BD 5D 66 BF F8 | T:8379945 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 F5 78 F4 93 FA 28 68 AF FF | T:8379954 RPD:1
[CH: 50] LEN: 12 | HEX: FA 77 FB F4 71 DC 93 FA F4 8D BF FF | T:8379984 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F3 7A F4 93 FE C2 7C AF EE | T:8380014 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD F2 7D F8 93 FB 1E 91 BF FA | T:8380044 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 F1 7A F0 93 BA 6B 9F BF 7F | T:8380074 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FD F0 7D F4 93 DD B7 7A BF FF | T:8380104 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE EF 62 F8 93 FA 19 90 BE DF | T:8380134 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 F4 EE 63 D8 93 FB C5 75 BF 77 | T:8380164 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 ED 60 F8 93 FA B0 7B BF EF | T:8380194 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EC 61 F8 93 DE EC 9E AB F5 | T:8380224 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 F8 93 FA 5A 67 AF FF | T:8380253 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE EA 67 F4 93 FD 86 82 BF FB | T:8380283 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E9 64 F0 93 ED F3 8C BF FF | T:8380313 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E8 65 F8 93 FE AF 69 BF BF | T:8380343 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FE E7 6A E8 93 AA 1C 75 AB 5B | T:8380373 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 F6 E6 6B D0 93 DA 42 9B BB FF | T:8380403 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E4 69 F0 93 FD EB 70 BF BB | T:8380463 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E3 6E F8 93 FD DD 89 BF BF | T:8380493 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E2 6F F8 93 DE 81 6C BF FD | T:8380523 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E1 6C F8 93 DE 74 62 AF FF | T:8380553 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E0 6D F8 93 FE A8 87 BF EE | T:8380583 RPD:1
[CH: 50] LEN: 12 | HEX: EE 76 FE DE D2 F0 93 DF 39 97 BE FF | T:8380613 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F5 F6 73 F8 93 AD 5A 88 BE FB | T:8380643 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F9 70 F0 93 BB AE C6 BF FF | T:8380647 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA FC 71 F8 93 DD F3 63 BB DF | T:8380651 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA FB 76 EC 93 DF 45 9A BF 7D | T:8380662 RPD:1
