# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-154512
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 79 91 FF DA 73 BF FC | T:8712326 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 EC 61 79 91 F7 06 96 BE EF | T:8712356 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 71 91 DB 30 6F B6 EA | T:8712386 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 79 91 FF CC 8A B7 FE | T:8712416 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E9 64 79 91 EE 99 84 AF FF | T:8712446 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E8 65 79 91 DE C5 61 BD AA | T:8712476 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E7 6A 79 91 ED 74 76 BF F5 | T:8712506 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E5 68 79 91 FF 5F 9D BF FF | T:8712566 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E4 69 79 91 FE C1 70 AF AF | T:8712596 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E3 6E 79 91 EF 77 81 BD FE | T:8712626 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E2 6F 79 91 F6 EB 64 AF FF | T:8712656 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 79 91 FF 1E 6A AF 7D | T:8712686 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 79 91 FF 42 8F 35 BE | T:8712716 RPD:1
[CH: 5
0] LEN: 12 | HEX: FA 76 FC DF 52 79 91 D7 53 9F BD 55 | T:8712746 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FE 73 79 91 FF 70 80 AF 7B | T:8712776 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE FD 70 79 91 FF 05 8E BE ED | T:8712779 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 79 91 EE 99 6B AF BF | T:8712782 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 76 79 91 FF AF 92 BF FF | T:8712794 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FA 77 71 91 DF F3 77 37 FF | T:8712794 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FA F9 74 79 91 FF C6 79 AB FF | T:8712805 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F8 75 79 91 FF 5A 9C AB FE | T:8712805 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F4 F7 7A 79 91 FE AB 8B EB F7 | T:8712817 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 78 79 91 D5 42 60 BF 35 | T:8712835 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F4 79 79 91 FF 9E 85 BE FB | T:8712865 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7C 79 91 FE A8 7C BF FF | T:8712895 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F2 7F 79 91 FF F4 99 AF FF | T:8712925 RPD:1
[CH: 50] LEN: 12 | HEX: FA 7E F4 F1 7C 79 91 ED 81 97 BF BF | T:8712955 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 F0 79 79 91 FF 3D 72 BE FF | T:8712985 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 79 91 DF 73 98 BF FF | T:8713015 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F4 EE 63 79 91 EB 6F 79 AF EF | T:8713045 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 79 91 FF 5A 73 FF 7E | T:8713074 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 79 91 FF 06 96 AF FF | T:8713104 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FC EB 66 71 91 FC B0 6E BF FF | T:8713134 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 79 91 FE AC 8A B2 FF | T:8713164 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E9 64 79 91 FE 99 84 BF F7 | T:8713194 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE E8 65 79 91 FE C5 61 AF 5F | T:8713224 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E7 6A 79 91 FF 54 76 AF F5 | T:8713254 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 E6 6B 71 91 FF 28 93 BF A2 | T:8713284 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E5 68 79 91 F7 5D 9D BF BF | T:8713314 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E4 69 79 91 FD 41 78 AF F7 | T:8713344 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E 79 91 FE F7 81 AF F7 | T:8713374 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E2 6F 79 91 FE 6B 64 AF EF | T:8713404 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE E1 6C 79 91 EE 1C 6A AF 7F | T:8713434 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 79 91 FF C2 8F 3F EB | T:8713464 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF DF 52 79 91 EE D3 9F 3F FF | T:8713494 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 73 79 91 EE 70 80 BF B7 | T:8713524 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 FE FD 70 71 91 DD 45 8F BD FF | T:8713528 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 FC 71 79 91 EE 99 6B BF FD | T:8713531 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F2 77 79 91 FF 53 77 BF BF | T:8713542 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F9 74 79 91 EE C6 79 A7 FF | T:8713542 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 75 71 91 D5 5A 9C B7 57 | T:8713554 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 79 91 FF AB 8B AF FF | T:8713554 RPD:0
[CH: 50] LEN: 12 | HEX: F2 76 FE F6 7B 79 91 D7 37 6E BF FF | T:8713565 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F5 78 79 91 FE C2 60 BF FF | T:8713582 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 79 91 FF 5E 85 BF FC | T:8713612 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 EE E3 7E 71 91 DF A8 78 AF FE | T:8713642 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FB F2 7F 79 91 FF 74 99 AF F5 | T:8713672 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F1 78 79 91 FF 81 97 BD FF | T:8713702 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F0 79 79 91 EE 9D 72 BD 7B | T:8713732 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EF 62 79 91 FF 73 98 A7 F7 | T:8713762 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EE 63 79 91 FF 2F 7D BB FF | T:8713792 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE ED 60 79 91 D7 5A 73 AF F5 | T:8713822 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EC 61 79 91 FE 86 96 BF FF | T:8713852 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EB 66 79 91 FE B0 6F BF FF | T:8713882 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EA 67 79 91 F7 EC 8A B7 FB | T:8713912 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF E9 64 71 91 F7 19 84 BF 7F | T:8713942 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E8 65 79 91 FE C5 61 BE 93 | T:8713972 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA E7 6A 71 91 FE A4 76 BB FB | T:8714002 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FC E6 6B 79 91 FF 28 93 BD FD | T:8714032 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 E5 68 79 91 FE 5D 9D AF BD | T:8714062 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FF E4 69 79 91 D5 41 7C BF FB | T:8714092 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E3 6E 79 91 FF 77 81 AF DF | T:8714122 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FA E2 6F 79 91 FF 6B 64 BE DD | T:8714152 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 6C 79 91 FF 1E 6A BD 55 | T:8714182 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E0 6D 79 91 DE 82 8F BF FB | T:8714212 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 DE 52 79 91 FF 53 9F 3F FF | T:8714242 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 73 79 91 FF 70 80 BF BF | T:8714272 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F5 70 79 91 FF 25 8E BF FE | T:8714275 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FC 71 79 91 FF 19 6B AD 7F | T:8714280 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE FB 76 79 91 F7 2F 92 AF 7F | T:8714291 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F2 77 79 91 FF 53 77 B7 7F | T:8714291 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F9 74 79 91 FF 86 79 B7 DF | T:8714302 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F8 75 71 91 D5 5A 9C B3 7B | T:8714303 RPD:0
[CH: 50] LEN: 12 | HEX: FA 76 FE F7 7A 79 91 FF FB 8B BF DD | T:8714314 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F6 7B 79 91 FF 37 6E BB EE | T:8714325 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 F6 F5 70 71 91 D5 42 60 AB EB | T:8714334 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F4 79 79 91 FF DE 85 AB FF | T:8714364 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE F3 7E 79 91 EB 68 78 AF FE | T:8714394 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE F2 7B 79 91 EA 74 99 BF F7 | T:8714424 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE E1 78 79 91 F7 01 97 AF FF | T:8714454 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FA F0 7B 79 91 FF 5D 72 BF DD | T:8714484 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EF 62 79 91 FF 73 98 AD BF | T:8714514 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 F6 EE 63 79 91 FF 6F 75 AB FE | T:8714544 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 ED 60 79 91 EF FA 73 BF FF | T:8714574 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 FE EC 61 79 91 FF 06 96 AF FF | T:8714604 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 ED EB 66 71 91 DF 30 6E AF EF | T:8714634 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FE EA 67 79 91 FF 4C 8A BE FF | T:8714664 RPD:1
